,Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment,Risk_score
260,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,3,3,3,1,Yes,Yes,Yes,No,No,3.46
261,🏙️ Big metro city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,9,3,Yes,Yes,No,Yes,Yes,98.88
262,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,No,No,No,48.53
263,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes,49.05
264,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
265,🌾 Rural area,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes,99.91
266,🏘️ Small town,Slightly important,Slightly important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,2,3,1,Yes,Yes,No,No,No,6.34
267,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,,3,1,3,4,2,No,Yes,No,No,No,48.52
268,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
269,🏙️ Big metro city,Slightly important,Very important,Slightly important,Very important,I check my bank balance occasionally.,Spend a lot once and then low spending for rest,A 50% discount on a brand I highly value.,3,2,5,3,1,Yes,Yes,Yes,Yes,Yes,5.87
270,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,2,6,2,Yes,No,Yes,No,No,49.03
271,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,No,Yes,No,No,48.81
272,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,,3,2,2,2,1,No,No,No,No,No,3.82
273,🌾 Rural area,Slightly important,Slightly important,Very important,Not important,I do not keep the track,Spend a lot once and then low spending for rest,A 50% discount on a brand I highly value.,2,1,3,3,1,Yes,No,No,No,Yes,5.73
274,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,,4,2,3,2,1,Yes,Yes,No,No,No,6.51
275,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,7,3,Yes,Yes,Yes,Yes,Yes,99.56
276,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,5,4,2,Yes,No,No,No,No,48.89
277,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,1,3,4,2,Yes,No,No,No,No,48.4
278,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
279,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,3,4,7,3,Yes,Yes,Yes,Yes,Yes,99.04
280,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",4,3,5,5,2,Yes,No,No,No,No,49.25
281,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No,48.84
282,🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No,48.63
283,🏙️ Big metro city,Very important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,1,3,2,1,Yes,No,No,No,No,3.59
284,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
285,🏘️ Small town,Slightly important,Slightly important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,,3,3,2,1,1,No,No,No,No,No,4.04
286,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,A planned trip with friends.,3,1,3,3,1,Yes,Yes,No,No,No,3.41
287,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
288,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,3,5,3,4,2,Yes,No,No,No,No,48.89
289,🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,3,2,2,4,2,Yes,No,No,No,No,48.44
290,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",3,3,2,10,3,No,No,No,Yes,Yes,98.97
291,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes,98.92
292,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,2,3,4,2,Yes,No,No,No,No,48.3
293,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes,48.66
294,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,5,4,2,No,Yes,No,Yes,Yes,48.5
295,🏘️ Small town,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,3,4,4,10,3,Yes,Yes,No,Yes,Yes,98.98
296,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
297,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
298,🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,2,3,2,1,Yes,Yes,No,No,No,2.53
299,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes,48.66
300,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes,49.05
301,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No,48.18
302,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
303,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,4,1,10,3,Yes,Yes,Yes,Yes,Yes,99.2
304,🏘️ Small town,Very important,Slightly important,Very important,Slightly important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,1,2,2,2,1,Yes,No,No,No,No,5.83
305,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No,48.84
306,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,2,2,3,1,Yes,No,No,No,No,2.06
307,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,2,5,3,1,Yes,No,No,No,No,2.96
308,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,,2,3,5,2,1,Yes,Yes,No,No,No,2.82
309,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes,48.82
310,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,2,3,3,1,Yes,No,Yes,No,No,2.83
311,🏙️ Big metro city,Not important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No,100.0
312,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
313,🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No,48.63
314,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,4,3,3,1,Yes,Yes,Yes,No,No,4.55
315,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes,99.86
316,🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,,1,5,5,5,2,Yes,No,No,No,No,49.33
317,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,2,1,3,3,1,Yes,Yes,No,No,No,2.88
318,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
319,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,3,9,3,Yes,Yes,No,No,No,98.76
320,🏙️ Big metro city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,9,3,Yes,Yes,No,Yes,Yes,98.88
321,🏙️ Big metro city,Slightly important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,3,10,3,No,Yes,Yes,Yes,No,99.91
322,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
323,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,4,3,1,Yes,No,Yes,No,No,2.48
324,🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No,99.54
325,🏢 Medium-sized city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,2,4,4,4,2,Yes,No,Yes,No,No,48.43
326,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,,1,3,4,10,3,Yes,Yes,No,Yes,No,98.9
327,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,5,3,1,Yes,Yes,No,Yes,No,7.53
328,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,4,4,4,2,Yes,Yes,Yes,Yes,Yes,49.28
329,🏙️ Big metro city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,5,3,7,3,Yes,No,No,No,No,99.15
330,🏙️ Big metro city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,1,3,3,1,1,Yes,No,No,No,No,5.8
331,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,Yes,No,No,48.55
332,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,3,8,3,Yes,Yes,No,No,No,98.76
333,🏘️ Small town,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,2,3,1,Yes,Yes,No,No,Yes,5.1
334,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,3,4,2,Yes,Yes,Yes,Yes,Yes,48.56
335,🏢 Medium-sized city,Not important,Very important,Not important,Not important,I check my bank balance occasionally.,Uniform Daily Expenses,Social celebrations or parties.,5,1,1,6,2,Yes,No,Yes,Yes,Yes,50.72
336,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,2,2,3,2,1,Yes,No,No,No,No,1.54
337,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,1,1,2,3,1,Yes,Yes,No,No,No,6.26
338,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,2,1,3,1,Yes,Yes,Yes,No,No,4.22
339,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
340,🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,,2,5,5,5,2,Yes,No,No,No,No,48.97
341,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,3,2,4,4,2,Yes,Yes,Yes,No,Yes,48.27
342,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,2,4,4,1,1,Yes,Yes,No,No,No,3.49
343,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",3,2,5,1,1,Yes,No,Yes,Yes,Yes,4.76
344,🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,5,3,1,No,Yes,Yes,No,Yes,3.22
345,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
346,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
347,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,2,4,3,1,Yes,Yes,No,No,No,5.27
348,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,3,5,3,4,2,Yes,No,No,No,No,48.89
349,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes,98.92
350,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No,98.61
351,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,3,4,2,1,Yes,Yes,Yes,No,No,3.61
352,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",2,2,3,6,2,Yes,No,No,No,Yes,48.16
353,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,3,5,4,2,Yes,Yes,Yes,Yes,Yes,49.15
354,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
355,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No,48.84
356,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,3,6,2,Yes,No,Yes,No,No,48.98
357,🏘️ Small town,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes,99.81
358,🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,3,2,2,4,2,Yes,No,No,No,No,48.44
359,🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,3,4,2,1,Yes,Yes,No,No,Yes,2.83
360,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",3,3,2,10,3,No,No,No,Yes,Yes,98.97
361,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,2,1,2,2,1,Yes,No,No,No,No,3.98
362,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,2,10,3,Yes,No,Yes,No,No,98.71
363,🏢 Medium-sized city,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,2,5,3,1,Yes,No,No,No,No,2.03
364,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,1,2,1,Yes,Yes,No,No,No,6.32
365,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
366,🏙️ Big metro city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,A planned trip with friends.,3,3,5,3,1,Yes,No,No,No,No,4.28
367,🏘️ Small town,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,2,1,9,3,Yes,No,No,No,No,98.96
368,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,,3,2,3,3,1,Yes,No,Yes,No,No,3.13
369,🏘️ Small town,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,2,4,1,1,Yes,No,No,No,No,2.92
370,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,5,4,2,Yes,No,No,No,No,48.89
371,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No,48.88
372,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,,2,3,4,3,1,Yes,Yes,No,Yes,Yes,4.3
373,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,4,9,3,Yes,Yes,Yes,No,Yes,99.79
374,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,A planned trip with friends.,2,1,5,3,1,Yes,No,No,No,No,3.18
375,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.12
376,🏘️ Small town,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,4,2,1,Yes,Yes,No,No,No,5.98
377,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,3,4,2,Yes,No,No,Yes,No,48.76
378,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.61
379,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,No,Yes,No,No,48.81
380,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,1,4,1,1,Yes,Yes,No,No,No,3.99
381,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,7,3,Yes,Yes,Yes,Yes,Yes,99.56
382,🏘️ Small town,Very important,Slightly important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,,2,1,4,2,1,Yes,Yes,No,No,No,3.36
383,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,1,2,7,3,No,Yes,No,No,No,98.8
384,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,4,3,5,2,1,Yes,No,No,No,No,7.11
385,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,2,1,5,2,1,Yes,Yes,No,No,No,3.36
386,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,3,8,3,Yes,Yes,Yes,Yes,No,98.84
387,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,3,5,4,2,Yes,Yes,Yes,Yes,Yes,49.15
388,🏘️ Small town,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",2,4,3,4,2,Yes,Yes,Yes,Yes,Yes,48.68
