Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,7,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,4,3,5,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,1,3,4,2,Yes,No,No,No,No
🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,3,4,7,3,Yes,Yes,Yes,Yes,Yes
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",4,3,5,5,2,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No
🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No
🏙️ Big metro city,Very important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,2,1,3,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No
🏘️ Small town,Slightly important,Slightly important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,None,3,3,2,1,1,No,No,No,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,A planned trip with friends.,3,1,3,3,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,1,4,9,3,Yes,Yes,No,No,No
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,None,3,5,3,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,3,2,2,4,2,Yes,No,No,No,No
🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",3,3,2,10,3,No,No,No,Yes,Yes
🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,2,3,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,5,4,2,No,Yes,No,Yes,Yes
🏘️ Small town,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,3,4,4,10,3,Yes,Yes,No,Yes,Yes
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes
🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes
🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,2,3,2,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No
🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes
🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,4,1,10,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Slightly important,Very important,Slightly important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,1,2,2,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,2,2,2,3,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,None,3,2,5,3,1,Yes,No,No,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,None,2,3,5,2,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,None,3,2,3,3,1,Yes,No,Yes,No,No
🏙️ Big metro city,Not important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes
🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,4,3,3,1,Yes,Yes,Yes,No,No
🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,None,1,5,5,5,2,Yes,No,No,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,None,2,1,3,3,1,Yes,Yes,No,No,No
🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,1,3,9,3,Yes,Yes,No,No,No
🏙️ Big metro city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,9,3,Yes,Yes,No,Yes,Yes
🏙️ Big metro city,Slightly important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,3,10,3,No,Yes,Yes,Yes,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,2,3,4,3,1,Yes,No,Yes,No,No
🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No
🏢 Medium-sized city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,None,2,4,4,4,2,Yes,No,Yes,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,None,1,3,4,10,3,Yes,Yes,No,Yes,No
🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,5,3,1,Yes,Yes,No,Yes,No
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,4,4,4,2,Yes,Yes,Yes,Yes,Yes
🏙️ Big metro city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,5,3,7,3,Yes,No,No,No,No
🏙️ Big metro city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,1,3,3,1,1,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,None,3,4,5,4,2,Yes,No,Yes,No,No
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,1,3,8,3,Yes,Yes,No,No,No
🏘️ Small town,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,2,3,1,Yes,Yes,No,No,Yes
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,None,3,2,3,4,2,Yes,Yes,Yes,Yes,Yes
🏢 Medium-sized city,Not important,Very important,Not important,Not important,I check my bank balance occasionally.,Uniform Daily Expenses,Social celebrations or parties.,5,1,1,6,2,Yes,No,Yes,Yes,Yes
🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,None,2,2,3,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,1,1,2,3,1,Yes,Yes,No,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,3,2,1,3,1,Yes,Yes,Yes,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes
🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,None,2,5,5,5,2,Yes,No,No,No,No
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,3,2,4,4,2,Yes,Yes,Yes,No,Yes
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,None,2,4,4,1,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",3,2,5,1,1,Yes,No,Yes,Yes,Yes
🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,2,3,5,3,1,No,Yes,Yes,No,Yes
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,1,4,9,3,Yes,Yes,No,No,No
🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,2,4,3,1,Yes,Yes,No,No,No
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,None,3,5,3,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,3,4,2,1,Yes,Yes,Yes,No,No
🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",2,2,3,6,2,Yes,No,No,No,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,3,5,4,2,Yes,Yes,Yes,Yes,Yes
🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No
🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,3,6,2,Yes,No,Yes,No,No
🏘️ Small town,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes
🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,3,2,2,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,3,4,2,1,Yes,Yes,No,No,Yes
🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",3,3,2,10,3,No,No,No,Yes,Yes
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,None,2,1,2,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,2,10,3,Yes,No,Yes,No,No
🏢 Medium-sized city,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,2,5,3,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,1,1,2,1,Yes,Yes,No,No,No
🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes
🏙️ Big metro city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,A planned trip with friends.,3,3,5,3,1,Yes,No,No,No,No
🏘️ Small town,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,4,2,1,9,3,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,None,3,2,3,3,1,Yes,No,Yes,No,No
🏘️ Small town,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,2,4,1,1,Yes,No,No,No,No
🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,4,3,5,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,None,2,3,4,3,1,Yes,Yes,No,Yes,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,4,9,3,Yes,Yes,Yes,No,Yes
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,A planned trip with friends.,2,1,5,3,1,Yes,No,No,No,No
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,4,4,10,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,4,2,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,3,4,2,Yes,No,No,Yes,No
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes
🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,No,Yes,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,1,4,1,1,Yes,Yes,No,No,No
🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,7,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Slightly important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,None,2,1,4,2,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,1,2,7,3,No,Yes,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,None,4,3,5,2,1,Yes,No,No,No,No
🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,None,2,1,5,2,1,Yes,Yes,No,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,3,8,3,Yes,Yes,Yes,Yes,No
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,3,5,4,2,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",2,4,3,4,2,Yes,Yes,Yes,Yes,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,2,2,7,3,No,Yes,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,2,2,4,1,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,4,4,2,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes
🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,1,3,3,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,Social celebrations or parties.,1,2,4,3,1,Yes,No,Yes,No,No
🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,3,3,10,3,Yes,No,Yes,No,No
🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No
🏘️ Small town,Very important,Very important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,4,10,3,Yes,Yes,Yes,Yes,Yes
🏘️ Small town,Slightly important,Not important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,None,2,2,3,2,1,Yes,No,No,No,No
🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No
🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,1,10,3,Yes,Yes,Yes,Yes,Yes
🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes
🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,1,3,4,2,Yes,No,No,No,No
🏘️ Small town,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,None,2,2,4,2,1,Yes,No,No,No,No
🏘️ Small town,Very important,Very important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,2,1,Yes,No,No,No,No
🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,5,4,2,1,Yes,No,No,No,No
🏘️ Small town,Not important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,2,4,2,No,Yes,Yes,No,No
🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,4,10,3,No,No,No,Yes,Yes
🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,None,4,2,4,4,2,Yes,No,No,No,No
🏘️ Small town,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes
